Player,Nation,Pos,SoT%,Squad,Comp,Age,MP,G/90,G/Sh,G/SoT,PKGoals,PKAttempted,Goals,Pass,PassCompleted,PassComp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,Assist,Cross,CrossCompleted,CrossComp%,Tackle_Won,Interception ,SucDribble,Dribble,DribbleComp%,DribblePast%,YCards,RCards,Fls,Fld,OGoals,AerWon,AerLost,AerWon%,AerLost%,PasswHead,PasswHead%,PKwon,but_par_tir,but_par_tir_cadre,but_par_90min,pass_short_comp,pass_medium_comp,pass_long_comp,tete_reussi,passe_avec_tete,Dribbles_reussis,Dribles_passes,Tir,Tete,Passe,Dribbles,Note Finale,classement_equipe
Nick Viergever,NED,DF,Greuther Fürth,Bundesliga,32.0,24,0.0,0.0,0.0,0,0,0,1071,875,81.7,86.1,91.1,60.8,0,1,0,0.0,29,1428.57,0,1,0.0,0.0,2,0,14,7,0,34,42,44.69,0,71,6.63,0.0,2.11,1.1,0.0,22,82,28,70,54,84,91,75,47,83,85,49,47,46,59,57.0,3
Lukas Kübler,GER,DF,Freiburg,Bundesliga,29.0,29,0.08,0.15,0.33,0,0,2,1241,905,72.93,85.4,79.5,51.1,0,34,9,26.47,32,1167.88,14,22,63.64,2.82,2,0,28,24,0,56,45,55.38,0,80,6.45,0.0,1.66,0.35,0.04,47,80,25,24,32,89,43,64,79,86,85,49,62,27,74,57.0,3
Cédric Brunner,SUI,DF,Arminia,Bundesliga,28.0,27,0.0,0.0,0.0,0,0,0,1145,766,66.9,86.1,75.0,42.9,1,45,15,33.33,31,1275.72,19,29,65.52,3.28,6,0,40,30,0,57,39,59.49,0,76,6.64,0.0,1.85,0.45,0.0,57,82,28,12,15,84,51,62,94,85,85,87,66,17,83,57.0,3
Pawe? Dawidowicz,POL,DF,Hellas Verona,Serie A,27.0,17,0.0,0.0,0.0,0,0,0,611,526,86.09,94.2,87.0,76.1,0,4,0,0.0,20,858.37,4,5,80.0,6.0,3,0,26,15,0,31,23,57.39,0,47,7.69,0.0,1.8,0.83,0.0,51,89,88,53,86,84,80,58,75,63,85,61,55,59,56,57.0,4
Diogo Dalot,POR,DF,Manchester Utd,Premier League,23.0,24,0.0,0.0,0.0,0,0,0,1171,935,79.85,86.8,84.6,61.7,0,46,9,19.57,33,1137.93,16,28,57.14,3.21,4,0,20,7,0,38,22,63.33,0,43,3.67,0.0,1.85,0.6,0.15,67,40,32,44,57,98,63,69,65,87,85,72,48,40,70,57.0,4
Chris Richards,USA,DF,Hoffenheim,Bundesliga,22.0,19,0.07,0.1,1.0,0,0,1,968,839,86.67,90.6,92.1,68.9,1,0,0,,18,900.0,2,3,66.67,4.67,1,0,13,2,0,69,36,65.75,0,58,5.99,0.0,2.55,0.83,0.0,75,76,62,76,72,84,80,62,45,60,85,35,62,57,46,57.0,3
Víctor Ruiz,ESP,DF,Betis,La Liga,33.0,18,0.0,0.0,0.0,0,0,0,899,785,87.32,91.4,92.0,75.4,0,0,0,,6,857.14,2,2,100.0,6.5,2,0,13,2,0,56,25,69.14,0,54,6.01,0.0,1.84,0.95,0.0,84,76,69,76,84,84,86,62,45,29,85,49,64,61,42,57.0,4
Varazdat Haroyan,ARM,DF,Cádiz,La Liga,29.0,17,0.06,0.25,0.5,0,0,1,414,337,81.4,86.0,88.0,68.8,0,0,0,,21,985.92,0,1,0.0,0.0,9,0,27,6,0,35,18,65.96,0,35,8.45,0.0,1.75,0.88,0.0,75,92,27,57,72,84,83,59,77,66,85,96,65,41,63,57.0,2
Castello Lukeba,FRA,DF,Lyon,Ligue 1,19.0,24,0.09,0.33,0.67,0,0,2,1653,1508,91.23,93.0,94.3,83.3,0,0,0,,20,1257.86,11,14,78.57,3.71,1,0,19,16,0,57,39,59.47,0,50,3.02,0.0,1.42,0.43,0.0,57,27,81,88,94,84,50,57,62,63,85,35,38,79,55,57.0,3
Quini,ESP,DF,Granada,La Liga,32.0,32,0.0,0.0,0.0,0,0,0,960,678,70.62,84.4,76.1,42.3,1,46,8,17.39,54,1569.77,15,29,51.72,2.41,11,0,46,14,0,30,36,45.35,0,54,5.62,0.0,2.07,0.55,0.0,23,71,20,14,14,84,58,71,96,98,85,99,47,16,94,57.0,3
Ben Godfrey,ENG,DF,Everton,Premier League,24.0,23,0.0,0.0,0.0,0,0,0,789,606,76.81,84.0,80.8,57.4,0,14,7,50.0,26,1101.69,6,10,60.0,3.1,6,0,17,14,0,51,36,58.66,0,57,7.22,0.0,2.13,0.89,0.0,55,86,18,30,47,84,84,70,56,78,85,87,62,28,68,57.0,3
Erik Palmer-Brown,USA,DF,Troyes,Ligue 1,25.0,21,0.0,0.0,0.0,0,0,0,651,541,83.1,89.0,92.5,60.6,0,0,0,,26,1256.04,2,5,40.0,2.0,2,0,18,12,0,39,20,66.01,0,24,3.69,0.0,1.81,0.98,0.05,75,41,51,79,54,92,87,70,59,78,85,49,49,52,58,57.0,4
Matty Cash,POL,DF,Aston Villa,Premier League,24.0,38,0.11,0.11,0.31,0,0,4,1587,1122,70.7,86.7,79.0,38.5,3,94,14,14.89,44,1833.33,21,36,58.33,1.69,8,0,45,50,0,44,56,43.98,0,81,5.1,0.0,2.43,0.51,0.0,21,64,31,23,11,84,56,71,96,95,85,94,42,22,92,57.0,3
Enock Kwateng,FRA,DF,Bordeaux,Ligue 1,25.0,29,0.05,0.14,0.33,0,0,1,1197,990,82.71,89.1,86.1,61.1,0,27,10,37.04,31,1377.78,16,30,53.33,2.7,6,1,26,17,0,27,23,53.98,0,39,3.26,0.0,1.53,0.18,0.05,43,31,51,49,55,92,25,56,75,85,98,87,36,51,85,57.0,2
Danilo,BRA,DFMF,Juventus,Serie A,30.0,22,0.05,0.07,0.33,0,0,1,1451,1264,87.11,94.1,91.3,66.8,2,13,5,38.46,22,1215.47,4,9,44.44,2.11,6,0,21,11,0,40,23,63.33,0,33,2.27,0.0,1.43,0.62,0.0,67,15,88,71,68,84,64,59,66,69,85,87,36,66,67,57.0,4
Ramy Bensebaini,ALG,DF,M'Gladbach,Bundesliga,27.0,23,0.18,0.07,0.29,2,2,4,1297,1062,81.88,89.6,85.9,65.1,1,16,6,37.5,27,1285.71,18,31,58.06,3.03,6,0,35,44,0,62,45,57.95,0,54,4.16,0.0,2.23,0.49,0.0,52,50,55,48,64,84,54,58,90,80,85,87,45,49,76,57.0,3
Denzel Dumfries,NED,DF,Inter,Serie A,26.0,33,0.22,0.13,0.29,0,0,5,865,649,75.03,83.3,76.6,52.3,4,52,9,17.31,25,1404.49,16,31,51.61,2.58,3,0,33,42,0,59,41,59.01,0,47,5.43,0.09,1.29,0.36,0.0,55,69,17,16,35,84,43,62,87,77,85,61,62,23,78,56.0,5
Erhan Maovi?,SRB,DF,Bochum,Bundesliga,23.0,20,0.0,0.0,0.0,0,0,0,650,507,78.0,78.6,91.7,58.5,0,1,0,0.0,22,924.37,2,2,100.0,6.0,7,0,18,8,1,34,29,53.95,0,44,6.77,0.0,2.44,1.4,0.06,43,83,6,75,50,95,95,73,59,69,85,91,52,36,63,56.0,3
Juan Cruz Armada,ESP,DF,Osasuna,La Liga,29.0,23,0.0,0.0,0.0,0,0,0,950,786,82.74,90.1,87.8,62.0,0,13,1,7.69,15,1153.85,8,11,72.73,3.36,4,0,20,6,0,28,28,50.0,0,63,6.63,0.0,1.21,0.6,0.0,36,82,59,56,57,84,63,60,65,52,85,72,52,51,61,56.0,3
Peter Pekarík,SVK,DF,Hertha BSC,Bundesliga,35.0,27,0.0,0.0,0.0,0,0,0,1199,931,77.65,88.9,84.7,49.8,0,41,8,19.51,24,1061.95,6,12,50.0,2.33,1,0,27,19,0,33,23,58.85,0,69,5.75,0.0,2.02,0.4,0.0,55,73,49,44,27,84,46,60,77,75,85,35,61,38,65,56.0,3
Víctor Díaz,ESP,DF,Granada,La Liga,33.0,22,0.06,0.08,0.5,0,0,1,692,525,75.87,92.7,85.3,51.5,0,9,2,22.22,14,897.44,2,5,40.0,2.4,5,0,16,6,0,33,36,47.83,0,51,7.37,0.0,1.62,0.9,0.0,29,88,79,46,33,84,84,68,52,49,85,81,51,46,58,56.0,4
Víctor Chust,ESP,DF,Cádiz,La Liga,22.0,25,0.0,0.0,0.0,0,0,0,807,699,86.62,91.6,93.5,72.6,0,2,0,0.0,14,1238.94,6,7,85.71,4.29,2,0,16,11,0,33,52,38.9,0,40,4.96,0.0,1.53,0.54,0.0,15,63,70,84,79,84,58,62,52,49,85,49,36,71,54,56.0,3
Alessio Romagnoli,ITA,DF,Milan,Serie A,27.0,19,0.06,0.08,0.2,0,0,1,977,875,89.56,89.0,95.3,76.3,0,1,0,0.0,14,880.5,2,2,100.0,6.5,4,1,18,14,0,51,26,66.19,0,34,3.48,0.0,1.66,0.7,0.06,76,36,51,91,86,95,70,61,59,49,98,72,46,62,57,56.0,4
Adrien Truffert,FRA,DF,Rennes,Ligue 1,20.0,30,0.16,0.15,0.6,0,0,3,1167,958,82.09,90.9,83.3,61.5,2,36,11,30.56,17,965.91,16,27,59.26,3.44,4,0,28,21,0,19,31,37.96,0,51,4.37,0.05,2.58,0.33,0.0,14,53,64,40,56,84,41,63,79,57,85,72,34,53,73,56.0,5
Séamus Coleman,IRL,DF,Everton,Premier League,33.0,30,0.03,0.13,1.0,0,0,1,1237,912,73.73,87.7,74.4,48.2,0,40,11,27.5,42,1721.31,26,44,59.09,2.23,4,0,19,20,1,34,34,50.0,0,68,5.5,0.03,2.0,0.44,0.0,36,70,38,10,25,84,50,67,62,94,85,72,53,24,78,56.0,4
Antonio Raillo,ESP,DF,Mallorca,La Liga,30.0,17,0.12,0.22,0.67,0,0,2,615,532,86.5,93.1,92.6,66.4,0,1,0,0.0,12,1016.95,0,0,,,8,0,26,14,1,39,37,51.23,0,49,7.97,0.0,1.65,0.88,0.0,37,90,82,79,66,84,83,59,75,44,85,94,50,59,58,56.0,3
Salvador Ferrer,ESP,DFMF,Spezia,Serie A,24.0,27,0.0,0.0,0.0,0,0,0,754,588,77.98,85.4,82.4,64.7,3,33,11,33.33,23,1059.91,5,8,62.5,3.75,3,0,13,11,0,33,30,52.37,0,32,4.24,0.0,2.47,0.72,0.06,40,51,25,35,63,95,73,78,45,72,85,61,43,39,62,56.0,4
Marcos Acuña,ARG,DF,Sevilla,La Liga,30.0,31,0.04,0.06,0.2,0,0,1,1971,1564,79.35,93.1,84.9,58.0,3,124,23,18.55,39,1688.31,45,65,69.23,2.94,10,0,41,54,0,33,37,47.12,0,47,2.38,0.0,1.43,0.16,0.0,27,17,82,45,48,84,23,53,95,92,85,98,22,58,92,56.0,3
Jeison Murillo,COL,DF,Celta Vigo,La Liga,30.0,19,0.0,0.0,0.0,0,0,0,705,630,89.36,94.0,93.7,79.4,0,0,0,,7,378.38,1,2,50.0,4.0,5,1,13,14,0,34,26,56.61,0,31,4.4,0.0,1.69,0.81,0.0,49,54,87,85,90,84,79,61,45,31,98,81,42,71,52,56.0,3
Wilfried Singo,CIV,DF,Torino,Serie A,21.0,35,0.1,0.07,0.43,0,0,3,1402,1078,76.89,87.3,80.1,54.8,4,66,15,22.73,23,1284.92,41,86,47.67,2.05,5,1,48,64,0,58,35,62.31,0,44,3.14,0.0,1.34,0.21,0.0,65,29,35,27,39,84,28,55,97,72,98,81,47,34,87,56.0,5
Alex Ferrari,ITA,DF,Sampdoria,Serie A,27.0,23,0.05,0.25,1.0,0,0,1,811,686,84.59,85.0,92.1,70.8,0,4,0,0.0,24,1000.0,4,12,33.33,1.83,4,0,29,25,0,24,25,48.88,0,28,3.45,0.0,2.3,1.2,0.0,30,35,23,76,76,84,93,74,81,75,85,72,29,52,69,56.0,4
Samir Santos,BRA,DF,Watford,Premier League,27.0,19,0.0,0.0,0.0,0,0,0,658,537,81.61,91.8,88.3,58.5,0,0,0,,19,1104.65,0,1,0.0,0.0,4,0,18,16,0,55,36,60.41,0,54,8.21,0.0,1.51,0.59,0.05,61,91,72,58,50,92,62,57,59,61,85,72,62,49,57,56.0,2
Mathías Olivera,URU,DF,Getafe,La Liga,24.0,32,0.03,0.04,0.14,0,0,1,1448,1050,72.51,84.2,70.8,47.9,3,64,8,12.5,53,2007.58,16,45,35.56,1.36,10,0,61,51,0,131,125,51.15,0,93,6.42,0.0,2.73,0.16,0.0,37,80,18,6,24,84,23,55,99,98,85,98,58,16,95,56.0,4
Paul Jaeckel,GER,DF,Union Berlin,Bundesliga,23.0,24,0.0,0.0,0.0,0,0,0,1128,912,80.85,85.3,90.4,65.1,0,3,0,0.0,35,1325.76,13,19,68.42,3.47,5,0,33,14,0,60,54,52.59,0,56,4.96,0.0,1.32,0.44,0.0,40,63,24,68,64,84,50,56,87,89,85,81,46,47,77,56.0,3
Edmond Tapsoba,BFA,DF,Leverkusen,Bundesliga,23.0,22,0.05,0.14,1.0,0,0,1,1421,1258,88.53,92.2,94.7,74.8,0,2,0,0.0,21,1250.0,8,9,88.89,4.44,1,0,22,7,0,46,28,62.13,0,34,2.39,0.0,1.73,0.79,0.0,64,17,75,89,82,84,77,65,68,66,85,35,35,71,55,56.0,4
Mário Rui,POR,DF,Napoli,Serie A,31.0,34,0.0,0.0,0.0,0,0,0,2457,2074,84.41,91.7,89.1,63.1,5,51,8,15.69,39,1659.57,14,22,63.64,1.91,7,0,30,65,0,18,37,32.73,0,73,2.97,0.0,1.45,0.21,0.0,9,27,71,62,60,84,28,55,83,92,85,91,18,64,88,56.0,4
Marcos Alonso,ESP,DF,Chelsea,Premier League,31.0,28,0.17,0.09,0.4,0,0,4,1454,1132,77.85,88.4,84.2,46.0,4,64,15,23.44,28,1497.33,19,39,48.72,2.13,8,0,33,34,0,59,26,69.41,0,38,2.61,0.0,1.62,0.25,0.0,85,21,44,42,21,84,33,55,87,82,85,94,51,34,84,56.0,5
Malo Gusto,FRA,DF,Lyon,Ligue 1,19.0,30,0.0,0.0,0.0,0,0,0,1497,1302,86.97,91.4,90.7,66.0,4,60,15,25.0,41,1380.47,24,42,57.14,2.86,3,0,28,20,1,16,26,38.31,0,28,1.87,0.0,2.15,0.33,0.0,14,10,69,69,65,84,41,63,79,94,85,61,12,68,80,56.0,5
Giorgio Chiellini,ITA,DF,Juventus,Serie A,37.0,21,0.0,0.0,0.0,0,0,0,925,782,84.54,89.4,89.3,72.5,0,1,0,0.0,10,751.88,2,4,50.0,3.25,2,0,20,24,0,47,23,67.17,0,31,3.35,0.0,2.07,1.27,0.0,80,33,53,63,79,84,94,70,65,37,85,49,48,55,50,56.0,5
Damien Da Silva,FRA,DF,Lyon,Ligue 1,34.0,17,0.0,0.0,0.0,0,0,0,883,788,89.24,93.7,94.6,74.8,0,1,0,0.0,8,769.23,1,2,50.0,4.0,5,1,20,5,0,43,23,65.15,0,36,4.08,0.0,1.68,0.72,0.0,72,48,86,89,82,84,73,55,65,34,98,81,47,67,54,56.0,4
Fabian Schär,SUI,DF,Newcastle Utd,Premier League,30.0,25,0.08,0.1,0.33,0,0,2,952,679,71.32,83.2,86.7,51.3,2,6,1,16.67,11,1325.3,8,13,61.54,2.92,4,0,33,13,0,51,45,53.12,0,51,5.36,0.0,1.54,0.79,0.08,42,68,16,52,32,97,77,75,87,39,85,72,50,31,65,55.0,2
Jorge Miramón,ESP,DF,Levante,La Liga,32.0,29,0.05,0.14,0.5,0,0,1,1035,791,76.43,87.6,80.0,53.1,0,40,8,20.0,25,1488.1,18,28,64.29,3.25,5,0,32,26,0,26,23,52.91,0,45,4.35,0.0,1.59,0.23,0.05,42,53,37,26,36,92,30,59,86,77,85,81,47,32,81,55.0,4
Melvin Bard,FRA,DF,Nice,Ligue 1,21.0,33,0.07,0.4,1.0,0,0,2,1864,1516,81.33,90.5,84.1,57.9,2,72,14,19.44,46,2008.73,25,38,65.79,2.47,3,0,24,31,0,37,35,51.2,0,44,2.36,0.0,2.26,0.35,0.0,37,17,61,42,47,84,43,64,71,96,85,61,27,50,78,55.0,4
Álex Moreno,ESP,DF,Betis,La Liga,28.0,30,0.19,0.19,0.63,0,0,5,1408,1042,74.01,88.6,75.1,41.0,3,74,13,17.57,44,1506.85,27,60,45.0,2.12,3,1,35,41,0,37,39,48.77,0,80,5.68,0.04,2.55,0.26,0.0,30,71,46,12,13,84,34,60,90,95,98,61,50,24,86,55.0,5
Nathan Collins,IRL,DF,Burnley,Premier League,21.0,19,0.11,0.13,0.4,0,0,2,640,462,72.19,77.8,82.8,52.5,0,4,1,25.0,23,1428.57,3,8,37.5,2.75,2,1,20,14,0,83,44,65.3,0,69,10.78,0.0,2.58,1.4,0.05,73,97,6,38,35,92,95,70,65,72,98,49,69,22,58,55.0,4
Kevin Bonifazi,ITA,DF,Bologna,Serie A,26.0,22,0.0,0.0,0.0,0,0,0,675,558,82.67,91.1,88.8,63.5,0,3,1,33.33,19,1016.04,14,16,87.5,6.5,4,1,16,11,1,36,17,67.93,0,19,2.81,0.0,1.79,0.6,0.0,82,23,66,61,61,84,63,60,52,61,98,72,46,54,61,55.0,5
Mattia Viti,ITA,DF,Empoli,Serie A,20.0,20,0.0,0.0,0.0,0,0,0,683,572,83.75,90.5,89.1,69.6,0,0,0,,24,1105.99,8,13,61.54,4.15,3,1,15,15,1,32,42,43.27,0,33,4.83,0.0,2.47,1.57,0.06,19,61,61,62,74,95,96,74,49,75,98,61,33,55,59,55.0,4
Fábio,BRA,DF,Nantes,Ligue 1,31.0,27,0.0,0.0,0.0,0,0,0,854,632,74.0,86.4,76.2,46.0,2,31,3,9.68,36,994.48,15,26,57.69,3.31,8,1,33,19,0,40,29,57.91,0,36,4.22,0.0,2.32,0.43,0.0,52,51,29,14,21,84,50,63,87,90,98,94,49,20,88,55.0,5
David Zima,CZE,DF,Torino,Serie A,21.0,20,0.0,0.0,0.0,0,0,0,604,523,86.59,87.6,91.7,75.8,0,4,0,0.0,10,769.23,7,9,77.78,6.11,3,0,19,6,0,61,35,63.53,0,24,3.97,0.0,1.58,1.03,0.0,67,46,37,75,85,84,89,66,62,37,85,61,47,55,51,55.0,6
Anel Ahmedhodzic,BIH,DF,Bordeaux,Ligue 1,23.0,15,0.0,0.0,0.0,0,0,0,868,770,88.71,94.7,91.5,74.3,1,7,2,28.57,22,944.21,2,5,40.0,4.0,6,0,21,11,0,25,10,71.37,0,41,4.72,0.0,1.27,0.53,0.0,88,59,90,73,81,84,57,46,66,69,85,87,55,61,58,55.0,3
Federico Fazio,ARG,DF,Salernitana,Serie A,35.0,16,0.06,0.06,0.33,0,0,1,626,519,82.91,88.1,87.7,64.0,0,5,1,20.0,9,957.45,11,13,84.62,5.31,3,1,17,19,0,68,19,78.24,0,46,7.35,0.0,1.89,1.07,0.0,94,88,41,56,62,84,90,60,56,35,98,61,70,41,48,55.0,2
Danilo D'Ambrosio,ITA,DF,Inter,Serie A,33.0,20,0.09,0.07,0.33,0,0,1,738,654,88.62,93.6,93.7,71.0,1,5,0,0.0,18,689.66,3,3,100.0,9.0,2,0,15,5,0,24,18,57.14,0,22,2.98,0.0,2.43,0.9,0.09,50,27,85,85,76,98,84,70,49,60,85,49,32,68,51,55.0,6
Aaron Cresswell,ENG,DF,West Ham,Premier League,32.0,31,0.07,0.11,0.67,0,0,2,2048,1642,80.18,92.7,88.1,46.9,3,63,8,12.7,19,1919.19,3,13,23.08,0.77,3,0,20,13,0,36,30,54.59,0,46,2.25,0.0,1.58,0.56,0.0,46,15,79,57,22,84,59,70,65,61,85,61,30,53,68,55.0,3
Aïssa Mandi,ALG,DF,Villarreal,La Liga,30.0,17,0.07,0.1,0.33,0,0,1,982,915,93.18,93.0,97.1,85.8,0,0,0,,6,923.08,0,0,,,3,0,14,5,1,36,19,65.46,0,34,3.46,0.0,1.37,0.85,0.2,73,36,81,95,95,99,81,63,47,29,85,61,43,71,43,55.0,5
Jean-Kevin Duverne,FRA,DF,Brest,Ligue 1,24.0,37,0.03,0.07,0.33,0,0,1,1791,1350,75.38,86.8,79.1,55.5,3,60,17,28.33,44,1955.56,24,43,55.81,1.67,1,0,38,33,1,43,35,55.13,0,84,4.69,0.0,1.89,0.24,0.03,47,59,32,23,41,87,31,59,93,95,85,35,53,32,77,55.0,5
Leonardo Bonucci,ITA,DF,Juventus,Serie A,35.0,24,0.22,0.14,0.67,3,3,5,1279,1105,86.4,92.6,93.6,74.9,0,2,0,0.0,7,972.22,3,5,60.0,2.6,1,0,20,9,0,45,40,53.02,0,31,2.42,0.0,1.7,0.85,0.0,42,18,78,85,82,84,81,70,65,31,85,35,27,74,49,55.0,6
Vincent Manceau,FRA,DF,Angers,Ligue 1,32.0,28,0.0,0.0,0.0,0,0,0,1608,1430,88.93,94.9,93.4,76.2,0,3,0,0.0,17,1307.69,3,4,75.0,2.75,2,1,14,15,0,20,31,39.18,0,47,2.92,0.0,1.6,0.27,0.0,15,25,91,84,86,84,35,56,47,57,98,49,19,84,61,55.0,3
Serge Aurier,CIV,DF,Villarreal,La Liga,29.0,19,0.0,0.0,0.0,0,0,0,735,628,85.44,88.7,88.0,74.4,1,22,7,31.82,14,744.68,13,20,65.0,5.8,4,0,16,6,0,25,14,64.08,0,39,5.31,0.0,1.96,0.63,0.09,68,68,47,57,81,98,65,61,52,49,85,72,56,50,53,55.0,4
Jordi Alba,ESP,DF,Barcelona,La Liga,33.0,30,0.07,0.06,0.33,0,0,2,2767,2336,84.42,92.1,87.0,63.2,10,104,18,17.31,25,1666.67,7,22,31.82,1.23,11,0,28,25,0,18,30,37.42,0,61,2.2,0.0,1.9,0.24,0.0,13,14,74,53,61,84,31,58,79,77,85,99,14,63,85,55.0,4
Joseba Zaldúa,ESP,DF,Real Sociedad,La Liga,29.0,24,0.0,0.0,0.0,0,0,0,619,477,77.06,89.1,77.7,56.2,0,24,4,16.67,22,753.42,4,7,57.14,4.43,6,0,22,23,0,28,23,54.85,0,37,5.98,0.0,2.23,0.38,0.08,46,75,51,19,43,97,45,61,68,69,85,87,54,34,70,55.0,4
Ruben Aguilar,FRA,DF,Monaco,Ligue 1,29.0,28,0.0,0.0,0.0,0,0,0,1714,1436,83.78,92.3,87.0,54.9,2,52,6,11.54,51,1335.08,10,17,58.82,2.94,4,0,32,30,1,39,40,49.4,0,42,2.45,0.0,1.64,0.29,0.0,31,18,75,53,40,84,37,57,86,98,85,72,24,54,82,54.0,4
Álvaro Odriozola,ESP,DF,Fiorentina,Serie A,26.0,25,0.05,0.25,0.5,0,0,1,1046,915,87.48,91.7,89.2,87.4,2,48,10,20.83,17,1214.29,11,28,39.29,2.21,4,1,18,14,0,6,23,20.67,0,35,3.35,0.05,1.87,0.52,0.0,4,33,71,62,96,84,57,62,59,57,98,72,17,70,66,54.0,4
Nordi Mukiele,FRA,DF,RB Leipzig,Bundesliga,24.0,28,0.05,0.05,0.14,0,0,1,1140,860,75.44,85.0,78.1,61.7,3,40,8,20.0,28,1302.33,15,38,39.47,2.18,3,0,26,25,0,51,31,62.25,0,50,4.39,0.05,1.51,0.24,0.0,64,54,23,20,57,84,31,54,75,82,85,61,57,32,73,54.0,4
Nikola Mara,SRB,DF,Rayo Vallecano,La Liga,26.0,16,0.0,0.0,0.0,0,0,0,447,380,85.01,89.3,89.3,70.1,0,1,0,0.0,11,1067.96,0,0,,,4,0,12,5,0,40,27,59.69,0,45,10.07,0.0,2.33,1.21,0.0,58,96,53,63,75,84,93,61,42,39,85,72,59,49,46,54.0,3
Giorgos Kyriakopoulos,GRE,DFFW,Sassuolo,Serie A,26.0,29,0.0,0.0,0.0,0,0,0,1286,1062,82.58,94.3,88.4,49.8,5,62,13,20.97,22,1375.0,30,49,61.22,2.8,6,1,29,40,0,21,27,43.84,0,17,1.32,0.0,2.19,0.37,0.0,20,7,88,59,27,84,44,63,81,69,98,87,13,57,82,54.0,4
Kristoffer Ajer,NOR,DF,Brentford,Premier League,24.0,24,0.05,0.14,1.0,0,0,1,871,627,71.99,82.8,79.7,48.4,3,12,1,8.33,22,1222.22,11,17,64.71,2.94,5,0,18,19,0,63,38,62.42,0,63,7.23,0.0,1.62,0.59,0.05,65,86,14,25,25,92,62,65,59,69,85,81,68,19,66,54.0,3
Przemys?aw Frankowski,POL,DF,Lens,Ligue 1,27.0,37,0.22,0.18,0.46,0,0,6,1442,1178,81.69,88.0,84.8,63.2,5,51,12,23.53,38,1520.0,21,41,51.22,2.07,5,0,40,9,0,12,14,46.32,0,52,3.61,0.0,1.4,0.04,0.0,25,39,40,44,61,84,16,49,94,92,85,81,32,48,88,54.0,4
Benno Schmitz,GER,DF,Köln,Bundesliga,27.0,31,0.0,0.0,0.0,0,0,0,1646,1162,70.6,84.1,75.6,49.9,5,74,24,32.43,41,1576.92,5,14,35.71,1.86,5,0,34,23,0,42,57,42.39,0,84,5.1,0.0,1.82,0.33,0.04,19,64,18,13,28,89,41,65,89,94,85,81,42,20,87,54.0,4
Simone Romagnoli,ITA,DF,Empoli,Serie A,32.0,19,0.12,0.4,1.0,0,0,2,773,610,78.91,87.8,86.6,57.5,0,3,0,0.0,14,891.72,1,3,33.33,2.0,3,0,17,4,1,66,34,66.0,0,48,6.21,0.0,2.47,1.69,0.0,75,78,38,51,47,84,97,68,56,49,85,61,62,37,51,54.0,5
Domenico Criscito,ITA,DF,Genoa,Serie A,35.0,20,0.33,0.0,0.0,6,7,6,1003,789,78.66,91.8,86.2,47.6,1,38,6,15.79,22,1100.0,7,9,77.78,4.33,4,0,25,30,0,27,15,64.38,0,47,4.69,0.0,2.17,0.67,0.0,70,59,72,49,24,84,68,59,73,69,85,72,54,40,62,54.0,2
Helibelton Palacios,COL,DF,Elche,La Liga,28.0,26,0.0,0.0,0.0,0,0,0,938,719,76.65,88.5,82.0,48.8,0,29,4,13.79,34,1125.83,21,27,77.78,3.78,6,0,31,34,0,27,23,54.08,0,35,3.73,0.0,1.91,0.42,0.05,44,41,45,34,26,92,48,63,84,88,85,87,40,33,80,54.0,6
Manuel Gulde,GER,DF,Freiburg,Bundesliga,31.0,20,0.0,0.0,0.0,0,0,0,577,480,83.19,85.4,90.2,72.0,0,1,1,100.0,13,706.52,2,3,66.67,5.0,2,0,18,12,0,34,18,65.45,0,37,6.41,0.0,1.76,0.59,0.0,73,80,25,67,78,84,62,56,59,46,85,49,64,47,50,54.0,4
Achraf Hakimi,MAR,DF,Paris S-G,Ligue 1,23.0,32,0.15,0.19,0.4,0,0,4,1837,1642,89.38,92.9,89.9,77.4,6,52,13,25.0,47,1577.18,27,52,51.92,2.1,3,1,20,18,0,10,20,33.03,0,28,1.52,0.0,1.13,0.18,0.0,9,8,80,65,87,84,25,53,65,97,98,61,8,77,80,54.0,4
Anthony Caci,FRA,DF,Strasbourg,Ligue 1,24.0,37,0.04,0.07,0.2,0,0,1,1629,1293,79.37,88.7,82.9,64.6,3,74,17,22.97,52,1897.81,24,38,63.16,2.37,4,0,33,26,0,36,44,45.0,0,55,3.38,0.0,1.2,0.19,0.0,22,33,47,38,63,84,26,54,87,98,85,72,28,49,86,54.0,4
Silvan Widmer,SUI,DF,Mainz 05,Bundesliga,29.0,33,0.12,0.17,0.5,0,0,4,1499,1077,71.85,85.2,74.3,41.6,5,56,12,21.43,43,1885.96,20,38,52.63,1.87,1,0,39,20,0,48,48,50.0,0,86,5.74,0.0,2.22,0.52,0.0,36,72,24,10,14,84,57,71,93,95,85,35,54,16,77,54.0,4
Marash Kumbulla,ALB,DF,Roma,Serie A,22.0,17,0.0,0.0,0.0,0,0,0,631,546,86.53,87.9,93.3,77.5,0,1,0,0.0,19,833.33,0,0,,,6,0,26,11,0,34,19,64.09,0,26,4.12,0.0,1.32,0.7,0.0,69,49,39,83,87,84,70,54,75,61,85,87,46,55,60,54.0,4
